H,G,delta
0,0.00113583,4126.83
0.000358,0.00113583,3919.66
0.001334325,0.00113583,3383
0.001661989,0.00113583,3223.73
0.002041543,0.00113583,3059.6
0.002326854,0.00113583,2954.9
0.00269747,0.00113583,2846.6
0.002993977,0.00113583,2783.86
0.003355734,0.00113583,2726.33
0.003688694,0.00113583,2688.32
0.004003634,0.00113583,2660.86
0.004354403,0.00113583,2638.53
0.004691646,0.00113583,2621.93
0.005025394,0.00113583,2608.86
0.005360713,0.00113583,2598.28
0.005784012,0.00113583,2587.91
0.006025922,0.00113583,2582.76
0.006362845,0.00113583,2576.83
